date_created,message
2019-11-06 01:41:14,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:41:08,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:40:57,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:40:56,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:40:11,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:39:51,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:39:45,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:39:03,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:39:00,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:44,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:34,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:28,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:21,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:18,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:14,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:38:01,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:50,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:42,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:39,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:36,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:18,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:10,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:04,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:03,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:37:01,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:36:51,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:36:31,"How Native Americans Came to Fight Southwestern Fires
The practice began with the 1933 creation of the Civilian Con… https://t.co/TgI4xWDtpd"
2019-11-06 01:36:25,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:36:15,RT @BeingFarhad: Catastrophic #wildfires are destroying lives &amp; homes in California. #ClimateChange is intensifying our natural disasters.…
2019-11-06 01:36:00,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:39,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:36,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:28,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:27,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:14,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 01:35:11,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:10,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:08,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:06,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:02,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:35:00,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:55,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:48,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:41,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:39,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:38,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:27,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:20,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:19,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:16,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 01:34:01,"“Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his thre… https://t.co/hvF38BTzfE"
2019-11-06 01:33:42,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 01:26:00,SPECIAL EPISODE: Dr. Heidi@ForbesOste takes to the street to interview the local community during California power… https://t.co/0AjIJKo7Sj
2019-11-06 01:22:42,Great lecture about wildfire smoke health effects and causal models in our epi seminar at UCLA by Tarik Benmarhnia… https://t.co/VulUYwzG9G
2019-11-06 01:21:57,"Lots of work ahead to protect #Californians from #firestorms &amp; 
#Wildfires... https://t.co/3ggPEKevet"
2019-11-06 01:20:57,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 01:16:06,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 01:14:40,@markkirin_ @leslymill @heyitsCarolyn @GBSurfvergnugen @TotalDominati10 @WinstonCovfefeR @grizzly60adams… https://t.co/tDnoLN0xHW
2019-11-06 01:10:35,"#TuesdayAfternoon Reading - It was, by all accounts an #Extreme #October; While Outages and #Wildfires made headlin… https://t.co/r55OT7Lv1x"
2019-11-06 01:07:02,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
2019-11-06 01:06:44,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 01:03:35,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 01:02:52,RT @Cal_SEED: The ongoing outbreak of #wildfires in #California make it more important than ever to talk about reliable #energy options - o…
2019-11-06 01:02:35,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 01:00:29,".@RiceUniversity Prof James Elliott says when people suffer from #wildfires over time, it creates wealth inequality… https://t.co/I0Ke5xDa3Z"
2019-11-06 00:57:19,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:56:02,"RT @TheFuturist007: Here's an impressive concept of how building fires will be fought in the future! What are you thoughts? 🚒🔥

#drone #ava…"
2019-11-06 00:55:21,"Is #Earth on #fire? Data shows almost five times as many #wildfires over last year

The #data reveals 49% of fires… https://t.co/Q3D4ANIBVT"
2019-11-06 00:55:15,"RT @SenSusanRubio: As Senate #Insurance Chair, doing my part in educating colleagues, legislative staff, about how #wildfires r affecting h…"
2019-11-06 00:53:59,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
2019-11-06 00:51:37,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:43:18,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 00:41:09,"RT @yamphoto: For those interested, our @datagraphics folks put together an interactive map tracking #wildfires 🔥🔥🔥  throughout the Golden…"
2019-11-06 00:40:02,Our #UCDavis health and environment researchers are working tirelessly to understand the impacts of #wildfires in o… https://t.co/SNDOCaWtgZ
2019-11-06 00:39:35,"RT @GeorgeLovell3: #Trump to #Putin: Vladdy, how can we help with your #wildfires ?

Trump to #CaliforniaWildfires : Go #rake yourselves."
2019-11-06 00:37:42,RT @AOECOIN: Wind Turbines are sparking more #wildfires in #California &amp; #PGE is getting the blame. Its also being blamed on #Climatechange…
2019-11-06 00:35:29,"RT @SusanGarren: The sun, with all those planets revolving around it &amp; dependent on it, can still ripen a bunch of grapes as if it had noth…"
2019-11-06 00:34:57,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:33:53,"RT @wildfiretoday: Physical fitness test for wildland firefighters used in Alberta, Canada
#wildfires https://t.co/uMTpOSW7jk"
2019-11-06 00:32:30,@RedCrossLA @ReadyLACounty @CountyofLA @JarrettBarrios @JoseDisaster 🙏We are thankful for everyone who helped famil… https://t.co/tE871brSav
2019-11-06 00:32:05,"You have to be a worse POS than Trump to steal a Firefighter's tools. Whoever you are...You. Are. Scum.

#Wildfires"
2019-11-06 00:28:31,#CA #Wildfires #AllCounties #airquality #breathing #Asthma #COPD #AirFiltration @BCWildfireWkly @Dobieblue  EXCELLE… https://t.co/PuH14adFy9
2019-11-06 00:28:19,RT @Ruptly: #Wildfires kill hundreds of animals in #Brazil https://t.co/VptJg5LlXp
2019-11-06 00:22:32,"RT @TheFuturist007: Here's an impressive concept of how building fires will be fought in the future! What are you thoughts? 🚒🔥

#drone #ava…"
2019-11-06 00:19:51,I know Democrats like to believe #ClimateChange causes #poweroutages and #wildfires but they're wrong. https://t.co/TVQ1ICWCpN
2019-11-06 00:18:58,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:18:28,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:18:10,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:15:29,Trump Stymies California Climate Efforts Even as State Burns #climateemergency #wildfires https://t.co/UU9fzxzM2F
2019-11-06 00:14:57,"RT @StanfordWoods: “The conditions that we are observing right now are a function of climate change and climate change will get worse,”@Mic…"
2019-11-06 00:14:21,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:05:13,"RT @iiiorg: Fighting #Wildfires with #Innovation, a new #whitepaper from the Insurance Information Institute is now available. Click to lea…"
2019-11-06 00:04:23,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-06 00:04:17,"RT @iiiorg: Fighting #Wildfires with #Innovation, a new #whitepaper from the Insurance Information Institute is now available. Click to lea…"
2019-11-06 00:00:37,"#Video: A new statewide network of #cameras could help detect #wildfires early on.

https://t.co/wG5CpyynRx"
2019-11-05 23:54:26,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
2019-11-05 23:48:28,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-05 23:47:52,"RT @TheFuturist007: Here's an impressive concept of how building fires will be fought in the future! What are you thoughts? 🚒🔥

#drone #ava…"
2019-11-05 23:46:59,"For anyone impacted by the #California #Wildfires, there are air quality advisories and warnings in place. Stay inf… https://t.co/pLtbQTXF6R"
2019-11-05 23:45:07,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-05 23:43:01,"RT @Siemens_Energy: #Wildfires are intensifying globally. To prevent fires caused by power line failures, @PowercorAust and we came up with…"
2019-11-05 23:42:21,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-05 23:40:33,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-05 23:39:21,"RT @GETAnalysis: GETAnalysis: @POTUS #Trump accuses #California of 'gross #MismanagementOfForests', when most #forestlands are under the #F…"
2019-11-05 23:39:11,"RT @GETAnalysis: GETAnalysis: An #AmericanTragedy - @realDonaldTrump a @POTUS who sees everything through #PartisanEyes, &amp; get all the #Fac…"
2019-11-05 23:36:52,"RT @TheFuturist007: Here's an impressive concept of how building fires will be fought in the future! What are you thoughts? 🚒🔥

#drone #ava…"
2019-11-05 23:35:53,"GETAnalysis: @POTUS #Trump accuses #California of 'gross #MismanagementOfForests', when most #forestlands are under… https://t.co/5U5j6YpE1L"
2019-11-05 23:35:41,"RT @TheFuturist007: Here's an impressive concept of how building fires will be fought in the future! What are you thoughts? 🚒🔥

#drone #ava…"
2019-11-05 23:34:34,It's bogus that @GavinNewsom tried to pull a fast one on CA voters. He blamed #ClimateChange for #wildfires and… https://t.co/9RBaRDKJCN
2019-11-05 23:33:55,"RT @CrowdAIinc: For the third year in a row, California is burning. 

There’s an opportunity for AI to improve proactive and reactive respo…"
2019-11-05 23:33:10,"GETAnalysis: An #AmericanTragedy - @realDonaldTrump a @POTUS who sees everything through #PartisanEyes, &amp; get all t… https://t.co/UcEQULQgH0"
2019-11-05 23:33:05,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
2019-11-05 23:31:33,Thoughts? San Francisco:: PG&amp;E Exec Meets With… https://t.co/JvLMibdxfc #Local #News #PGEPowerOutage #Politics #Wildfires @HainesForSF 2020
2019-11-05 23:31:02,RT @StopTrump2020: Does this surprise anyone? #wildfires #PutinsPuppet https://t.co/hT9d5DoF8K
